,FPR,TPR,Threshold
95,0.005625585998541515,0.19513255106475447,0.8212546343079696
96,0.005729763517033025,0.19513255106475447,0.8212060778124782
97,0.005729763517033025,0.196870925684485,0.8195873792066452
98,0.0058339410355245334,0.196870925684485,0.818544567209702
99,0.0058339410355245334,0.19730551933941765,0.8185214887885583
100,0.005938118554016043,0.19730551933941765,0.8171926940132734
101,0.005938118554016043,0.20165145588874403,0.8142511691727847
102,0.006042296072507553,0.20165145588874403,0.814095499374012
103,0.006042296072507553,0.20295523685354194,0.812820340843772
104,0.006250651109490572,0.20295523685354194,0.8124786077039745
105,0.006250651109490572,0.2033898305084746,0.8120833459344733
106,0.006354828627982081,0.2033898305084746,0.8119579566679702
107,0.006354828627982081,0.20556279878313777,0.8089040659966169
108,0.006459006146473591,0.20556279878313777,0.808431270475898
